Period,Period Label,Commodity,Commodity Label,Index Base 2015,Index Base 2015 Footnote,Index Base 2015 Missing value,"Growth rate, year-on-year","Growth rate, year-on-year Footnote","Growth rate, year-on-year Missing value",Growth rate (over previous period),Growth rate (over previous period) Footnote,Growth rate (over previous period) Missing value
1995M04,"Apr. 1995",IN0001.01,"All food",80.28,,,,,"No value reported or collected",-2.3833,,
1995M04,"Apr. 1995",IN0001.02,"Food",79.71,,,,,"No value reported or collected",-2.2683,,
1995M04,"Apr. 1995",IN0001.03,"Tropical beverages",98.12,,,,,"No value reported or collected",-2.0954,,
1995M04,"Apr. 1995",IN0001.04,"Vegetable oilseeds and oils",71.13,,,,,"No value reported or collected",-2.8279,,
1995M04,"Apr. 1995",IN0001.06,"Agricultural raw materials",107.39,,,,,"No value reported or collected",-3.4263,,
1995M04,"Apr. 1995",IN0001.07,"Minerals, ores and metals",44.49,,,,,"No value reported or collected",1.8544,,
1995M04,"Apr. 1995",IN0001.08,"Minerals, ores and non-precious metals",57.51,,,,,"No value reported or collected",0.4541,,
1995M04,"Apr. 1995",IN0001.09,"Precious metals",34.19,,,,,"No value reported or collected",3.7318,,
1995M04,"Apr. 1995",IN0001.10,"Fuels",38.37,,,,,"No value reported or collected",6.3175,,
1995M04,"Apr. 1995",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
1995M04,"Apr. 1995",IN0001.05,"Tropical beverages and food",84.24,,,,,"No value reported or collected",-2.2284,,
1995M04,"Apr. 1995",IN0001.22,"All groups excl. fuels",63.01,,,,,"No value reported or collected",-0.9432,,
1995M04,"Apr. 1995",IN0001.23,"All groups excl. precious metals",49.59,,,,,"No value reported or collected",2.4164,,
1995M04,"Apr. 1995",IN0001.24,"All groups excl. precious metals and fuels",75.98,,,,,"No value reported or collected",-1.8473,,
1995M05,"May  1995",IN0001.20,"All groups",47.28,,,,,"No value reported or collected",-1.0257,,
1995M05,"May  1995",IN0001.01,"All food",80.03,,,,,"No value reported or collected",-0.3114,,
1995M05,"May  1995",IN0001.02,"Food",80.29,,,,,"No value reported or collected",0.7276,,
1995M05,"May  1995",IN0001.03,"Tropical beverages",95.73,,,,,"No value reported or collected",-2.4358,,
1995M05,"May  1995",IN0001.04,"Vegetable oilseeds and oils",70.66,,,,,"No value reported or collected",-0.6608,,
1995M05,"May  1995",IN0001.06,"Agricultural raw materials",105.38,,,,,"No value reported or collected",-1.8717,,
1995M05,"May  1995",IN0001.07,"Minerals, ores and metals",43.59,,,,,"No value reported or collected",-2.0229,,
1995M05,"May  1995",IN0001.08,"Minerals, ores and non-precious metals",56.09,,,,,"No value reported or collected",-2.4691,,
1995M05,"May  1995",IN0001.09,"Precious metals",33.72,,,,,"No value reported or collected",-1.3747,,
1995M05,"May  1995",IN0001.10,"Fuels",38.06,,,,,"No value reported or collected",-0.8079,,
1995M05,"May  1995",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
1995M05,"May  1995",IN0001.05,"Tropical beverages and food",84.09,,,,,"No value reported or collected",-0.1781,,
1995M05,"May  1995",IN0001.22,"All groups excl. fuels",62.23,,,,,"No value reported or collected",-1.2379,,
1995M05,"May  1995",IN0001.23,"All groups excl. precious metals",49.1,,,,,"No value reported or collected",-0.9881,,
1995M05,"May  1995",IN0001.24,"All groups excl. precious metals and fuels",75.07,,,,,"No value reported or collected",-1.1977,,
1995M06,"June 1995",IN0001.20,"All groups",46.43,,,,,"No value reported or collected",-1.7978,,
1995M06,"June 1995",IN0001.01,"All food",80.65,,,,,"No value reported or collected",0.7747,,
1995M06,"June 1995",IN0001.02,"Food",82.94,,,,,"No value reported or collected",3.3005,,
1995M06,"June 1995",IN0001.03,"Tropical beverages",88.67,,,,,"No value reported or collected",-7.3749,,
1995M06,"June 1995",IN0001.04,"Vegetable oilseeds and oils",72.12,,,,,"No value reported or collected",2.0662,,
1995M06,"June 1995",IN0001.06,"Agricultural raw materials",99.01,,,,,"No value reported or collected",-6.0448,,
1995M06,"June 1995",IN0001.07,"Minerals, ores and metals",44.52,,,,,"No value reported or collected",2.1335,,
1995M06,"June 1995",IN0001.08,"Minerals, ores and non-precious metals",58.07,,,,,"No value reported or collected",3.53,,
1995M06,"June 1995",IN0001.09,"Precious metals",33.81,,,,,"No value reported or collected",0.2669,,
1995M06,"June 1995",IN0001.10,"Fuels",36.62,,,,,"No value reported or collected",-3.7835,,
1995M06,"June 1995",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
1995M06,"June 1995",IN0001.05,"Tropical beverages and food",84.35,,,,,"No value reported or collected",0.3092,,
1995M06,"June 1995",IN0001.22,"All groups excl. fuels",62.34,,,,,"No value reported or collected",0.1768,,
1995M06,"June 1995",IN0001.23,"All groups excl. precious metals",48.13,,,,,"No value reported or collected",-1.9756,,
1995M06,"June 1995",IN0001.24,"All groups excl. precious metals and fuels",75.19,,,,,"No value reported or collected",0.1599,,
1995M07,"Jul. 1995",IN0001.20,"All groups",44.77,,,,,"No value reported or collected",-3.5753,,
1995M07,"Jul. 1995",IN0001.01,"All food",80.99,,,,,"No value reported or collected",0.4216,,
1995M07,"Jul. 1995",IN0001.02,"Food",83.6,,,,,"No value reported or collected",0.7958,,
1995M07,"Jul. 1995",IN0001.03,"Tropical beverages",84.11,,,,,"No value reported or collected",-5.1427,,
1995M07,"Jul. 1995",IN0001.04,"Vegetable oilseeds and oils",74.68,,,,,"No value reported or collected",3.5496,,
1995M07,"Jul. 1995",IN0001.06,"Agricultural raw materials",90.56,,,,,"No value reported or collected",-8.5345,,
