Period,Period Label,Commodity,Commodity Label,Index Base 2015,Index Base 2015 Footnote,Index Base 2015 Missing value,"Growth rate, year-on-year","Growth rate, year-on-year Footnote","Growth rate, year-on-year Missing value",Growth rate (over previous period),Growth rate (over previous period) Footnote,Growth rate (over previous period) Missing value
2003M06,"June 2003",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2003M06,"June 2003",IN0001.05,"Tropical beverages and food",55.76,,,7.4374,,,-2.2954,,
2003M06,"June 2003",IN0001.22,"All groups excl. fuels",48.52,,,7.3689,,,-0.7568,,
2003M06,"June 2003",IN0001.23,"All groups excl. precious metals",62.95,,,20.2713,,,1.9598,,
2003M06,"June 2003",IN0001.24,"All groups excl. precious metals and fuels",55.97,,,6.6705,,,-0.9381,,
2003M07,"Jul. 2003",IN0001.20,"All groups",58.56,,,16.1214,,,-1.2146,,
2003M07,"Jul. 2003",IN0001.01,"All food",57.22,,,4.4733,,,-1.4468,,
2003M07,"Jul. 2003",IN0001.02,"Food",59.14,,,3.3555,,,-1.2358,,
2003M07,"Jul. 2003",IN0001.03,"Tropical beverages",44.18,,,4.6671,,,2.3633,,
2003M07,"Jul. 2003",IN0001.04,"Vegetable oilseeds and oils",61.32,,,6.366,,,-3.2197,,
2003M07,"Jul. 2003",IN0001.06,"Agricultural raw materials",70.06,,,-0.0856,,,0.5887,,
2003M07,"Jul. 2003",IN0001.07,"Minerals, ores and metals",39.13,,,9.7308,,,0.643,,
2003M07,"Jul. 2003",IN0001.08,"Minerals, ores and non-precious metals",48.42,,,7.7676,,,1.6586,,
2003M07,"Jul. 2003",IN0001.09,"Precious metals",31.79,,,12.2132,,,-0.5319,,
2003M07,"Jul. 2003",IN0001.10,"Fuels",64.82,,,21.4085,,,-1.6538,,
2003M07,"Jul. 2003",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2003M07,"Jul. 2003",IN0001.05,"Tropical beverages and food",55.45,,,3.6061,,,-0.556,,
2003M07,"Jul. 2003",IN0001.22,"All groups excl. fuels",48.41,,,6.0925,,,-0.2267,,
2003M07,"Jul. 2003",IN0001.23,"All groups excl. precious metals",62.15,,,16.3858,,,-1.2708,,
2003M07,"Jul. 2003",IN0001.24,"All groups excl. precious metals and fuels",55.89,,,4.6237,,,-0.1429,,
2003M08,"Aug. 2003",IN0001.20,"All groups",59.86,,,16.8456,,,2.2199,,
2003M08,"Aug. 2003",IN0001.01,"All food",57.63,,,4.7057,,,0.7165,,
2003M08,"Aug. 2003",IN0001.02,"Food",59.42,,,5.3359,,,0.4735,,
2003M08,"Aug. 2003",IN0001.03,"Tropical beverages",45.19,,,7.1869,,,2.2861,,
2003M08,"Aug. 2003",IN0001.04,"Vegetable oilseeds and oils",61.58,,,2.6676,,,0.424,,
2003M08,"Aug. 2003",IN0001.06,"Agricultural raw materials",72.04,,,2.548,,,2.8261,,
2003M08,"Aug. 2003",IN0001.07,"Minerals, ores and metals",39.97,,,14.8233,,,2.1467,,
2003M08,"Aug. 2003",IN0001.08,"Minerals, ores and non-precious metals",49.32,,,13.5359,,,1.8587,,
2003M08,"Aug. 2003",IN0001.09,"Precious metals",32.58,,,16.3571,,,2.4851,,
2003M08,"Aug. 2003",IN0001.10,"Fuels",66.44,,,21.02,,,2.4992,,
2003M08,"Aug. 2003",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2003M08,"Aug. 2003",IN0001.05,"Tropical beverages and food",55.91,,,5.69,,,0.8296,,
2003M08,"Aug. 2003",IN0001.22,"All groups excl. fuels",49.21,,,8.7033,,,1.6526,,
2003M08,"Aug. 2003",IN0001.23,"All groups excl. precious metals",63.53,,,16.8905,,,2.2204,,
2003M08,"Aug. 2003",IN0001.24,"All groups excl. precious metals and fuels",56.69,,,6.8816,,,1.4314,,
2003M09,"Sep. 2003",IN0001.20,"All groups",57.28,,,5.9956,,,-4.3101,,
2003M09,"Sep. 2003",IN0001.01,"All food",58.4,,,3.0528,,,1.3361,,
2003M09,"Sep. 2003",IN0001.02,"Food",57.52,,,-0.4844,,,-3.1976,,
2003M09,"Sep. 2003",IN0001.03,"Tropical beverages",46.43,,,0.7595,,,2.744,,
2003M09,"Sep. 2003",IN0001.04,"Vegetable oilseeds and oils",66.76,,,9.9292,,,8.4118,,
2003M09,"Sep. 2003",IN0001.06,"Agricultural raw materials",76.19,,,6.1586,,,5.7607,,
2003M09,"Sep. 2003",IN0001.07,"Minerals, ores and metals",40.94,,,16.3068,,,2.4268,,
2003M09,"Sep. 2003",IN0001.08,"Minerals, ores and non-precious metals",49.5,,,14.1079,,,0.365,,
2003M09,"Sep. 2003",IN0001.09,"Precious metals",34.17,,,18.9349,,,4.8803,,
2003M09,"Sep. 2003",IN0001.10,"Fuels",61.51,,,4.4845,,,-7.4202,,
2003M09,"Sep. 2003",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2003M09,"Sep. 2003",IN0001.05,"Tropical beverages and food",54.78,,,-0.2368,,,-2.0211,,
2003M09,"Sep. 2003",IN0001.22,"All groups excl. fuels",50.42,,,9.1342,,,2.4588,,
2003M09,"Sep. 2003",IN0001.23,"All groups excl. precious metals",60.38,,,5.1184,,,-4.9583,,
2003M09,"Sep. 2003",IN0001.24,"All groups excl. precious metals and fuels",57.73,,,6.7888,,,1.8345,,
2003M10,"Oct. 2003",IN0001.20,"All groups",60.07,,,9.8774,,,4.8708,,
2003M10,"Oct. 2003",IN0001.01,"All food",61.34,,,7.1254,,,5.0342,,
2003M10,"Oct. 2003",IN0001.02,"Food",57.48,,,-2.1284,,,-0.0695,,
2003M10,"Oct. 2003",IN0001.03,"Tropical beverages",44.94,,,-5.7071,,,-3.2091,,
2003M10,"Oct. 2003",IN0001.04,"Vegetable oilseeds and oils",77.39,,,28.6403,,,15.9227,,
2003M10,"Oct. 2003",IN0001.06,"Agricultural raw materials",82.66,,,17.632,,,8.4919,,
2003M10,"Oct. 2003",IN0001.07,"Minerals, ores and metals",41.76,,,18.6364,,,2.0029,,
2003M10,"Oct. 2003",IN0001.08,"Minerals, ores and non-precious metals",51.32,,,17.6794,,,3.6768,,
2003M10,"Oct. 2003",IN0001.09,"Precious metals",34.2,,,19.7898,,,0.0878,,
2003M10,"Oct. 2003",IN0001.10,"Fuels",64.72,,,8.1009,,,5.2187,,
2003M10,"Oct. 2003",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2003M10,"Oct. 2003",IN0001.05,"Tropical beverages and food",54.39,,,-2.8923,,,-0.7119,,
2003M10,"Oct. 2003",IN0001.22,"All groups excl. fuels",52.52,,,13.5322,,,4.165,,
2003M10,"Oct. 2003",IN0001.23,"All groups excl. precious metals",63.54,,,9.2128,,,5.2335,,
2003M10,"Oct. 2003",IN0001.24,"All groups excl. precious metals and fuels",60.77,,,12.0597,,,5.2659,,
2003M11,"Nov. 2003",IN0001.20,"All groups",60.25,,,15.8208,,,0.2997,,
2003M11,"Nov. 2003",IN0001.01,"All food",63.27,,,7.712,,,3.1464,,
2003M11,"Nov. 2003",IN0001.02,"Food",58.8,,,-0.6253,,,2.2965,,
2003M11,"Nov. 2003",IN0001.03,"Tropical beverages",44.84,,,-5.0804,,,-0.2225,,
2003M11,"Nov. 2003",IN0001.04,"Vegetable oilseeds and oils",81.54,,,26.3403,,,5.3624,,
2003M11,"Nov. 2003",IN0001.06,"Agricultural raw materials",83.07,,,17.2643,,,0.496,,
2003M11,"Nov. 2003",IN0001.07,"Minerals, ores and metals",43.09,,,19.8609,,,3.1849,,
2003M11,"Nov. 2003",IN0001.08,"Minerals, ores and non-precious metals",53.04,,,17.9453,,,3.3515,,
2003M11,"Nov. 2003",IN0001.09,"Precious metals",35.23,,,22.1991,,,3.0117,,
2003M11,"Nov. 2003",IN0001.10,"Fuels",64.12,,,16.6667,,,-0.9271,,
2003M11,"Nov. 2003",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2003M11,"Nov. 2003",IN0001.05,"Tropical beverages and food",55.36,,,-1.5472,,,1.7834,,
2003M11,"Nov. 2003",IN0001.22,"All groups excl. fuels",53.97,,,14.2464,,,2.7609,,
2003M11,"Nov. 2003",IN0001.23,"All groups excl. precious metals",63.61,,,15.3818,,,0.1102,,
2003M11,"Nov. 2003",IN0001.24,"All groups excl. precious metals and fuels",62.41,,,12.3695,,,2.6987,,
2003M12,"Dec. 2003",IN0001.20,"All groups",64.9,,,14.14,,,7.7178,,
2003M12,"Dec. 2003",IN0001.01,"All food",64.06,,,8.8345,,,1.2486,,
2003M12,"Dec. 2003",IN0001.02,"Food",59.11,,,0,,,0.5272,,
2003M12,"Dec. 2003",IN0001.03,"Tropical beverages",46.61,,,-0.893,,,3.9474,,
2003M12,"Dec. 2003",IN0001.04,"Vegetable oilseeds and oils",82.6,,,26.7843,,,1.3,,
2003M12,"Dec. 2003",IN0001.06,"Agricultural raw materials",82.78,,,15.6792,,,-0.3491,,
2003M12,"Dec. 2003",IN0001.07,"Minerals, ores and metals",45.09,,,23.2978,,,4.6414,,
2003M12,"Dec. 2003",IN0001.08,"Minerals, ores and non-precious metals",55.42,,,23.0735,,,4.4872,,
2003M12,"Dec. 2003",IN0001.09,"Precious metals",36.93,,,23.553,,,4.8254,,
2003M12,"Dec. 2003",IN0001.10,"Fuels",70.81,,,13.2779,,,10.4336,,
2003M12,"Dec. 2003",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2003M12,"Dec. 2003",IN0001.05,"Tropical beverages and food",56.03,,,-0.1782,,,1.2103,,
2003M12,"Dec. 2003",IN0001.22,"All groups excl. fuels",55.33,,,15.9958,,,2.5199,,
2003M12,"Dec. 2003",IN0001.23,"All groups excl. precious metals",68.66,,,13.5251,,,7.939,,
2003M12,"Dec. 2003",IN0001.24,"All groups excl. precious metals and fuels",63.61,,,14.1601,,,1.9228,,
2004M01,"Jan. 2004",IN0001.20,"All groups",66.76,,,8.8715,,,2.8659,,
2004M01,"Jan. 2004",IN0001.01,"All food",65.94,,,9.8268,,,2.9347,,
2004M01,"Jan. 2004",IN0001.02,"Food",59.84,,,-1.5628,,,1.235,,
2004M01,"Jan. 2004",IN0001.03,"Tropical beverages",50.2,,,1.5578,,,7.7022,,
2004M01,"Jan. 2004",IN0001.04,"Vegetable oilseeds and oils",85.5,,,32.0259,,,3.5109,,
2004M01,"Jan. 2004",IN0001.06,"Agricultural raw materials",83.75,,,17.4779,,,1.1718,,
2004M01,"Jan. 2004",IN0001.07,"Minerals, ores and metals",47.83,,,24.0083,,,6.0767,,
2004M01,"Jan. 2004",IN0001.08,"Minerals, ores and non-precious metals",60.28,,,28.6385,,,8.7694,,
2004M01,"Jan. 2004",IN0001.09,"Precious metals",37.99,,,18.6446,,,2.8703,,
2004M01,"Jan. 2004",IN0001.10,"Fuels",72.41,,,5.2318,,,2.2596,,
2004M01,"Jan. 2004",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2004M01,"Jan. 2004",IN0001.05,"Tropical beverages and food",57.46,,,-0.914,,,2.5522,,
2004M01,"Jan. 2004",IN0001.22,"All groups excl. fuels",57.59,,,17.0766,,,4.0846,,
2004M01,"Jan. 2004",IN0001.23,"All groups excl. precious metals",70.62,,,8.2133,,,2.8546,,
2004M01,"Jan. 2004",IN0001.24,"All groups excl. precious metals and fuels",66.42,,,16.6901,,,4.4175,,
2004M02,"Feb. 2004",IN0001.20,"All groups",65.6,,,-3.6711,,,-1.7376,,
2004M02,"Feb. 2004",IN0001.01,"All food",67.42,,,11.2725,,,2.2445,,
2004M02,"Feb. 2004",IN0001.02,"Food",59.91,,,-3.7745,,,0.117,,
2004M02,"Feb. 2004",IN0001.03,"Tropical beverages",50.52,,,1.9576,,,0.6375,,
2004M02,"Feb. 2004",IN0001.04,"Vegetable oilseeds and oils",90.11,,,40.8849,,,5.3918,,
2004M02,"Feb. 2004",IN0001.06,"Agricultural raw materials",84.03,,,16.3528,,,0.3343,,
2004M02,"Feb. 2004",IN0001.07,"Minerals, ores and metals",48.62,,,24.0623,,,1.6517,,
2004M02,"Feb. 2004",IN0001.08,"Minerals, ores and non-precious metals",62.91,,,31.3635,,,4.363,,
2004M02,"Feb. 2004",IN0001.09,"Precious metals",37.34,,,15.5679,,,-1.711,,
2004M02,"Feb. 2004",IN0001.10,"Fuels",69.92,,,-11.9063,,,-3.4388,,
2004M02,"Feb. 2004",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2004M02,"Feb. 2004",IN0001.05,"Tropical beverages and food",57.6,,,-2.571,,,0.2436,,
2004M02,"Feb. 2004",IN0001.22,"All groups excl. fuels",58.58,,,17.5833,,,1.719,,
2004M02,"Feb. 2004",IN0001.23,"All groups excl. precious metals",69.39,,,-4.8148,,,-1.7417,,
2004M02,"Feb. 2004",IN0001.24,"All groups excl. precious metals and fuels",68.14,,,18.0936,,,2.5896,,
2004M03,"Mar. 2004",IN0001.20,"All groups",68.65,,,11.3544,,,4.6494,,
2004M03,"Mar. 2004",IN0001.01,"All food",71.07,,,20.9702,,,5.4138,,
2004M03,"Mar. 2004",IN0001.02,"Food",62.45,,,2.7984,,,4.2397,,
2004M03,"Mar. 2004",IN0001.03,"Tropical beverages",49.72,,,9.2027,,,-1.5835,,
2004M03,"Mar. 2004",IN0001.04,"Vegetable oilseeds and oils",98.21,,,56.4352,,,8.989,,
2004M03,"Mar. 2004",IN0001.06,"Agricultural raw materials",83.45,,,15.04,,,-0.6902,,
2004M03,"Mar. 2004",IN0001.07,"Minerals, ores and metals",49.54,,,29.7198,,,1.8922,,
2004M03,"Mar. 2004",IN0001.08,"Minerals, ores and non-precious metals",64.03,,,34.7433,,,1.7803,,
2004M03,"Mar. 2004",IN0001.09,"Precious metals",38.09,,,23.5886,,,2.0086,,
2004M03,"Mar. 2004",IN0001.10,"Fuels",73.8,,,5.9279,,,5.5492,,
2004M03,"Mar. 2004",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2004M03,"Mar. 2004",IN0001.05,"Tropical beverages and food",59.31,,,4.0526,,,2.9688,,
2004M03,"Mar. 2004",IN0001.22,"All groups excl. fuels",60.3,,,23.9466,,,2.9362,,
2004M03,"Mar. 2004",IN0001.23,"All groups excl. precious metals",72.75,,,10.5791,,,4.8422,,
2004M03,"Mar. 2004",IN0001.24,"All groups excl. precious metals and fuels",70.3,,,24.0078,,,3.1699,,
2004M04,"Apr. 2004",IN0001.20,"All groups",69.4,,,23.7518,,,1.0925,,
2004M04,"Apr. 2004",IN0001.01,"All food",68.81,,,15.3369,,,-3.18,,
2004M04,"Apr. 2004",IN0001.02,"Food",64,,,4.5581,,,2.482,,
2004M04,"Apr. 2004",IN0001.03,"Tropical beverages",47.84,,,2.2004,,,-3.7812,,
2004M04,"Apr. 2004",IN0001.04,"Vegetable oilseeds and oils",89.11,,,38.6063,,,-9.2659,,
2004M04,"Apr. 2004",IN0001.06,"Agricultural raw materials",82.87,,,17.048,,,-0.695,,
2004M04,"Apr. 2004",IN0001.07,"Minerals, ores and metals",49.16,,,32.8649,,,-0.7671,,
2004M04,"Apr. 2004",IN0001.08,"Minerals, ores and non-precious metals",63.72,,,37.6539,,,-0.4841,,
2004M04,"Apr. 2004",IN0001.09,"Precious metals",37.65,,,26.9386,,,-1.1552,,
2004M04,"Apr. 2004",IN0001.10,"Fuels",75.67,,,24.1102,,,2.5339,,
2004M04,"Apr. 2004",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2004M04,"Apr. 2004",IN0001.05,"Tropical beverages and food",60.02,,,4.093,,,1.1971,,
2004M04,"Apr. 2004",IN0001.22,"All groups excl. fuels",59.25,,,23.0785,,,-1.7413,,
2004M04,"Apr. 2004",IN0001.23,"All groups excl. precious metals",73.67,,,23.5452,,,1.2646,,
2004M04,"Apr. 2004",IN0001.24,"All groups excl. precious metals and fuels",68.97,,,22.1356,,,-1.8919,,
2004M05,"May  2004",IN0001.20,"All groups",73.42,,,26.1295,,,5.7925,,
2004M05,"May  2004",IN0001.01,"All food",65.81,,,10.8472,,,-4.3598,,
2004M05,"May  2004",IN0001.02,"Food",63.08,,,4.144,,,-1.4375,,
2004M05,"May  2004",IN0001.03,"Tropical beverages",48.36,,,4.2916,,,1.087,,
2004M05,"May  2004",IN0001.04,"Vegetable oilseeds and oils",80.51,,,24.4551,,,-9.651,,
2004M05,"May  2004",IN0001.06,"Agricultural raw materials",80.98,,,16.1004,,,-2.2807,,
2004M05,"May  2004",IN0001.07,"Minerals, ores and metals",46.73,,,20.7494,,,-4.943,,
2004M05,"May  2004",IN0001.08,"Minerals, ores and non-precious metals",61.19,,,29.5849,,,-3.9705,,
2004M05,"May  2004",IN0001.09,"Precious metals",35.3,,,10.416,,,-6.2417,,
2004M05,"May  2004",IN0001.10,"Fuels",83.74,,,30.9256,,,10.6647,,
2004M05,"May  2004",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2004M05,"May  2004",IN0001.05,"Tropical beverages and food",59.45,,,4.1703,,,-0.9497,,
2004M05,"May  2004",IN0001.22,"All groups excl. fuels",56.67,,,15.9133,,,-4.3544,,
2004M05,"May  2004",IN0001.23,"All groups excl. precious metals",78.54,,,27.2109,,,6.6106,,
2004M05,"May  2004",IN0001.24,"All groups excl. precious metals and fuels",66.3,,,17.3451,,,-3.8712,,
2004M06,"June 2004",IN0001.20,"All groups",71.65,,,20.8671,,,-2.4108,,
2004M06,"June 2004",IN0001.01,"All food",64.41,,,10.937,,,-2.1273,,
2004M06,"June 2004",IN0001.02,"Food",63.43,,,5.9285,,,0.5549,,
2004M06,"June 2004",IN0001.03,"Tropical beverages",50.28,,,16.4968,,,3.9702,,
2004M06,"June 2004",IN0001.04,"Vegetable oilseeds and oils",74.16,,,17.0455,,,-7.8872,,
2004M06,"June 2004",IN0001.06,"Agricultural raw materials",80.17,,,15.1041,,,-1.0002,,
2004M06,"June 2004",IN0001.07,"Minerals, ores and metals",47.56,,,22.3251,,,1.7762,,
2004M06,"June 2004",IN0001.08,"Minerals, ores and non-precious metals",62.27,,,30.7369,,,1.765,,
2004M06,"June 2004",IN0001.09,"Precious metals",35.94,,,12.4531,,,1.813,,
2004M06,"June 2004",IN0001.10,"Fuels",80.95,,,22.819,,,-3.3317,,
2004M06,"June 2004",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2004M06,"June 2004",IN0001.05,"Tropical beverages and food",60.19,,,7.9448,,,1.2447,,
2004M06,"June 2004",IN0001.22,"All groups excl. fuels",56.57,,,16.5911,,,-0.1765,,
2004M06,"June 2004",IN0001.23,"All groups excl. precious metals",76.45,,,21.4456,,,-2.6611,,
2004M06,"June 2004",IN0001.24,"All groups excl. precious metals and fuels",65.86,,,17.6702,,,-0.6637,,
2004M07,"Jul. 2004",IN0001.20,"All groups",73.27,,,25.1195,,,2.261,,
2004M07,"Jul. 2004",IN0001.01,"All food",63.59,,,11.1325,,,-1.2731,,
2004M07,"Jul. 2004",IN0001.02,"Food",64.17,,,8.5052,,,1.1666,,
2004M07,"Jul. 2004",IN0001.03,"Tropical beverages",47.86,,,8.3296,,,-4.813,,
2004M07,"Jul. 2004",IN0001.04,"Vegetable oilseeds and oils",71.53,,,16.6504,,,-3.5464,,
2004M07,"Jul. 2004",IN0001.06,"Agricultural raw materials",78.36,,,11.847,,,-2.2577,,
2004M07,"Jul. 2004",IN0001.07,"Minerals, ores and metals",48.58,,,24.1503,,,2.1447,,
2004M07,"Jul. 2004",IN0001.08,"Minerals, ores and non-precious metals",63.88,,,31.929,,,2.5855,,
2004M07,"Jul. 2004",IN0001.09,"Precious metals",36.48,,,14.7531,,,1.5025,,
2004M07,"Jul. 2004",IN0001.10,"Fuels",83.51,,,28.8337,,,3.1624,,
2004M07,"Jul. 2004",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2004M07,"Jul. 2004",IN0001.05,"Tropical beverages and food",60.15,,,8.4761,,,-0.0665,,
2004M07,"Jul. 2004",IN0001.22,"All groups excl. fuels",56.67,,,17.0626,,,0.1768,,
2004M07,"Jul. 2004",IN0001.23,"All groups excl. precious metals",78.22,,,25.8568,,,2.3152,,
2004M07,"Jul. 2004",IN0001.24,"All groups excl. precious metals and fuels",65.77,,,17.6776,,,-0.1367,,
2004M08,"Aug. 2004",IN0001.20,"All groups",75.95,,,26.8794,,,3.6577,,
2004M08,"Aug. 2004",IN0001.01,"All food",62.71,,,8.8149,,,-1.3839,,
2004M08,"Aug. 2004",IN0001.02,"Food",63.39,,,6.6813,,,-1.2155,,
2004M08,"Aug. 2004",IN0001.03,"Tropical beverages",49.12,,,8.6966,,,2.6327,,
2004M08,"Aug. 2004",IN0001.04,"Vegetable oilseeds and oils",69.26,,,12.4716,,,-3.1735,,
2004M08,"Aug. 2004",IN0001.06,"Agricultural raw materials",77.97,,,8.2315,,,-0.4977,,
2004M08,"Aug. 2004",IN0001.07,"Minerals, ores and metals",48.72,,,21.8914,,,0.2882,,
2004M08,"Aug. 2004",IN0001.08,"Minerals, ores and non-precious metals",63.4,,,28.5483,,,-0.7514,,
2004M08,"Aug. 2004",IN0001.09,"Precious metals",37.13,,,13.9656,,,1.7818,,
2004M08,"Aug. 2004",IN0001.10,"Fuels",88,,,32.4503,,,5.3766,,
2004M08,"Aug. 2004",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2004M08,"Aug. 2004",IN0001.05,"Tropical beverages and food",59.87,,,7.0828,,,-0.4655,,
2004M08,"Aug. 2004",IN0001.22,"All groups excl. fuels",56.41,,,14.6312,,,-0.4588,,
2004M08,"Aug. 2004",IN0001.23,"All groups excl. precious metals",81.16,,,27.7507,,,3.7586,,
2004M08,"Aug. 2004",IN0001.24,"All groups excl. precious metals and fuels",65.1,,,14.8351,,,-1.0187,,
2004M09,"Sep. 2004",IN0001.20,"All groups",74.31,,,29.7311,,,-2.1593,,
2004M09,"Sep. 2004",IN0001.01,"All food",62.42,,,6.8836,,,-0.4624,,
2004M09,"Sep. 2004",IN0001.02,"Food",62.39,,,8.4666,,,-1.5775,,
2004M09,"Sep. 2004",IN0001.03,"Tropical beverages",51.23,,,10.3381,,,4.2956,,
2004M09,"Sep. 2004",IN0001.04,"Vegetable oilseeds and oils",68.84,,,3.1156,,,-0.6064,,
2004M09,"Sep. 2004",IN0001.06,"Agricultural raw materials",78.33,,,2.8088,,,0.4617,,
2004M09,"Sep. 2004",IN0001.07,"Minerals, ores and metals",49.11,,,19.956,,,0.8005,,
2004M09,"Sep. 2004",IN0001.08,"Minerals, ores and non-precious metals",63.99,,,29.2727,,,0.9306,,
2004M09,"Sep. 2004",IN0001.09,"Precious metals",37.35,,,9.3064,,,0.5925,,
2004M09,"Sep. 2004",IN0001.10,"Fuels",85.26,,,38.6116,,,-3.1136,,
2004M09,"Sep. 2004",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2004M09,"Sep. 2004",IN0001.05,"Tropical beverages and food",59.64,,,8.8719,,,-0.3842,,
2004M09,"Sep. 2004",IN0001.22,"All groups excl. fuels",56.56,,,12.1777,,,0.2659,,
2004M09,"Sep. 2004",IN0001.23,"All groups excl. precious metals",79.28,,,31.3018,,,-2.3164,,
2004M09,"Sep. 2004",IN0001.24,"All groups excl. precious metals and fuels",65.21,,,12.9569,,,0.169,,
2004M10,"Oct. 2004",IN0001.20,"All groups",81.46,,,35.6085,,,9.6219,,
2004M10,"Oct. 2004",IN0001.01,"All food",61.78,,,0.7173,,,-1.0253,,
2004M10,"Oct. 2004",IN0001.02,"Food",63.21,,,9.9687,,,1.3143,,
2004M10,"Oct. 2004",IN0001.03,"Tropical beverages",49.47,,,10.0801,,,-3.4355,,
2004M10,"Oct. 2004",IN0001.04,"Vegetable oilseeds and oils",66.31,,,-14.3171,,,-3.6752,,
2004M10,"Oct. 2004",IN0001.06,"Agricultural raw materials",79.48,,,-3.8471,,,1.4681,,
2004M10,"Oct. 2004",IN0001.07,"Minerals, ores and metals",50.85,,,21.7672,,,3.5431,,
2004M10,"Oct. 2004",IN0001.08,"Minerals, ores and non-precious metals",66.07,,,28.7412,,,3.2505,,
2004M10,"Oct. 2004",IN0001.09,"Precious metals",38.83,,,13.538,,,3.9625,,
2004M10,"Oct. 2004",IN0001.10,"Fuels",96.29,,,48.7794,,,12.9369,,
2004M10,"Oct. 2004",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2004M10,"Oct. 2004",IN0001.05,"Tropical beverages and food",59.82,,,9.9835,,,0.3018,,
2004M10,"Oct. 2004",IN0001.22,"All groups excl. fuels",57.42,,,9.3298,,,1.5205,,
2004M10,"Oct. 2004",IN0001.23,"All groups excl. precious metals",87.19,,,37.2206,,,9.9773,,
2004M10,"Oct. 2004",IN0001.24,"All groups excl. precious metals and fuels",65.79,,,8.2607,,,0.8894,,
2004M11,"Nov. 2004",IN0001.20,"All groups",76.88,,,27.6017,,,-5.6224,,
2004M11,"Nov. 2004",IN0001.01,"All food",63.3,,,0.0474,,,2.4603,,
2004M11,"Nov. 2004",IN0001.02,"Food",63.5,,,7.9932,,,0.4588,,
2004M11,"Nov. 2004",IN0001.03,"Tropical beverages",54.58,,,21.7217,,,10.3295,,
2004M11,"Nov. 2004",IN0001.04,"Vegetable oilseeds and oils",67.9,,,-16.728,,,2.3978,,
2004M11,"Nov. 2004",IN0001.06,"Agricultural raw materials",80.3,,,-3.3345,,,1.0317,,
2004M11,"Nov. 2004",IN0001.07,"Minerals, ores and metals",51.82,,,20.2599,,,1.9076,,
2004M11,"Nov. 2004",IN0001.08,"Minerals, ores and non-precious metals",66.15,,,24.7172,,,0.1211,,
2004M11,"Nov. 2004",IN0001.09,"Precious metals",40.49,,,14.9305,,,4.275,,
2004M11,"Nov. 2004",IN0001.10,"Fuels",88.18,,,37.5234,,,-8.4225,,
2004M11,"Nov. 2004",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
2004M11,"Nov. 2004",IN0001.05,"Tropical beverages and food",61.3,,,10.7298,,,2.4741,,
2004M11,"Nov. 2004",IN0001.22,"All groups excl. fuels",58.56,,,8.5047,,,1.9854,,
2004M11,"Nov. 2004",IN0001.23,"All groups excl. precious metals",81.77,,,28.549,,,-6.2163,,
2004M11,"Nov. 2004",IN0001.24,"All groups excl. precious metals and fuels",66.7,,,6.8739,,,1.3832,,
2004M12,"Dec. 2004",IN0001.20,"All groups",76.3,,,17.5655,,,-0.7544,,
2004M12,"Dec. 2004",IN0001.01,"All food",64.9,,,1.3113,,,2.5276,,
2004M12,"Dec. 2004",IN0001.02,"Food",64.79,,,9.6092,,,2.0315,,
2004M12,"Dec. 2004",IN0001.03,"Tropical beverages",59.24,,,27.0972,,,8.5379,,
2004M12,"Dec. 2004",IN0001.04,"Vegetable oilseeds and oils",68.3,,,-17.3123,,,0.5891,,
2004M12,"Dec. 2004",IN0001.06,"Agricultural raw materials",81.4,,,-1.6671,,,1.3699,,
2004M12,"Dec. 2004",IN0001.07,"Minerals, ores and metals",51.7,,,14.6596,,,-0.2316,,
2004M12,"Dec. 2004",IN0001.08,"Minerals, ores and non-precious metals",65.9,,,18.9101,,,-0.3779,,
2004M12,"Dec. 2004",IN0001.09,"Precious metals",40.48,,,9.6128,,,-0.0247,,
