Quarter,Quarter Label,Economy,Economy Label,Flow,Flow Label,Growth rate (over previous period),Growth rate (over previous period) Footnote,Growth rate (over previous period) Missing value,"Growth rate, year-on-year","Growth rate, year-on-year Footnote","Growth rate, year-on-year Missing value",Volume Index (2005=100),Volume Index (2005=100) Footnote,Volume Index (2005=100) Missing value,"Volume Index, seasonally adjusted (2005=100)","Volume Index, seasonally adjusted (2005=100) Footnote","Volume Index, seasonally adjusted (2005=100) Missing value","Growth rate (over previous period), seasonally adjusted","Growth rate (over previous period), seasonally adjusted Footnote","Growth rate (over previous period), seasonally adjusted Missing value"
2013Q02,"Q2 2013",1610,"LDCs (Least developed countries)",01,"Imports",4.2982,,,6.9339,,,207.7088,,,197.1062,,,1.79272,,
2013Q02,"Q2 2013",1614,"LDCs: Africa",02,"Exports",8.417,,,2.3099,,,157.8444,,,147.3652,,,5.20657,,
2013Q02,"Q2 2013",1614,"LDCs: Africa",01,"Imports",4.1788,,,3.6658,,,197.2241,,,183.1583,,,0.38717,,
2013Q02,"Q2 2013",1612,"LDCs: Asia",02,"Exports",-0.5531,,,12.8379,,,189.4721,,,190.0136,,,-2.70512,,
2013Q02,"Q2 2013",1612,"LDCs: Asia",01,"Imports",3.814,,,11.7539,,,227.0052,,,224.8378,,,3.07904,,
2013Q02,"Q2 2013",1615,"LDCs: Islands and Haiti",02,"Exports",10.6495,,,9.0299,,,226.715,,,192.135,,,1.70596,,
2013Q02,"Q2 2013",1615,"LDCs: Islands and Haiti",01,"Imports",24.6814,,,21.1646,,,193.4574,,,175.1518,,,6.67053,,
2013Q02,"Q2 2013",1620,"LLDCs (Landlocked developing countries)",02,"Exports",9.2349,,,5.5915,,,190.8301,,,178.2257,,,5.58221,,
2013Q02,"Q2 2013",1620,"LLDCs (Landlocked developing countries)",01,"Imports",17.9695,,,11.1442,,,288.5243,,,256.5295,,,4.37468,,
2013Q02,"Q2 2013",1640,"SIDS (Small island developing States) (UN-OHRLLS)",02,"Exports",12.0203,,,6.0055,,,151.8611,,,146.1084,,,7.66415,,
2013Q02,"Q2 2013",1640,"SIDS (Small island developing States) (UN-OHRLLS)",01,"Imports",9.3003,,,1.569,,,154.1587,,,145.4072,,,3.524,,
2013Q02,"Q2 2013",1641,"SIDS: Atlantic and Indian Ocean",02,"Exports",6.6912,,,5.6703,,,107.9418,,,92.7088,,,-1.82338,,
