year,ISO_code,countries,ECONOMIC FREEDOM,rank,quartile,1a_government_consumption,1b_transfers,1c_gov_enterprises,1d_top_marg_tax_rate,1_size_government,2a_judicial_independence,2b_impartial_courts,2c_protection_property_rights,2d_military_interference,2e_integrity_legal_system,2f_legal_enforcement_contracts,2g_restrictions_sale_real_property,2h_reliability_police,2i_business_costs_crime,2j_gender_adjustment,2_property_rights,3a_money_growth,3b_std_inflation,3c_inflation,3d_freedom_own_foreign_currency,3_sound_money,4a_tariffs,4b_regulatory_trade_barriers,4c_black_market,4d_control_movement_capital_ppl,4_trade,5a_credit_market_reg,5b_labor_market_reg,5c_business_reg,5_regulation
2011,MEX,Mexico,6.68,94,3,7.176470588,6.490463215,7,6,6.666733451,3.940705223,3.877275538,5.359306662,6.666666667,3.333333333,5.453419873,6.859286868,3.019040082,3.146174933,1,4.628356575,8.543133916,9.600885442,9.318,5,8.11550484,6.692444444,7.172139049,10,4.250508111,7.028772901,8.682015349,5.479487615,6.728317318,6.963273427
2011,USA,United States,7.76,12,1,6.029411765,5.774386921,7,7.5,6.575949671,6.500121798,5.569111715,6.633651688,6.666666667,8.333333333,6.801195862,8.62271982,7.580835097,5.91187369,1,6.957723297,8.176545388,9.677975304,9.368,10,9.305630173,8.404444444,7.647266751,10,4.793424184,7.711283845,8.086025065,9.010042209,7.588657962,8.228241745
2010,CHN,China,6.26,115,3,3.941176471,8.294277929,0,6,4.5588636,4.888875214,5.210736394,6.736122424,5,6.666666667,6.730396635,8.268561658,5.952869945,6.772675042,0.962962963,6.131740557,8.572592338,8.63161866,9.337090814,5,7.885325453,8.131022222,6.383908261,10,2.189824739,6.676188805,6.760093427,5.660299845,5.692135775,6.037509682
2010,MEX,Mexico,6.67,89,3,7.285294118,6.53133515,6,7.5,6.829157317,3.737665214,3.722374392,5.053989988,7.5,3.333333333,5.392658621,6.859286868,2.641928499,2.909725615,1,4.57232917,8.482790086,9.61272056,9.168504361,5,8.066003752,6.575111111,7.230943742,10,4.200698208,7.001688265,8.648148148,5.395184994,6.594437388,6.879256843
2010,USA,United States,7.81,11,1,5.852941176,5.691500765,7,7,6.386110485,6.571860796,5.62676004,6.761124696,6.666666667,8.333333333,7.32874573,9.51024016,7.596441991,5.892684618,1,7.143095337,9.462170779,9.578793488,9.671991312,10,9.678238895,8.425555556,7.657176354,10,4.800306306,7.720759554,7.775749018,9.055754698,7.595619387,8.142374367
2009,CHN,China,6.31,100,3,3.920588235,8.294277929,0,6,4.553716541,4.950586402,5.155527505,6.85384637,5,7.5,6.730396635,8.268561658,5.98543742,7.216748738,0.962962963,6.288145166,8.638375594,8.68836643,9.859410173,5,8.046538049,8.153244444,6.458472282,10,1.647184458,6.564725296,7.076790137,5.512543938,5.646661802,6.078665292
2009,MEX,Mexico,6.53,93,3,7.252941176,6.498637602,6,6,6.437894695,3.692702923,3.736384095,4.876778223,7.5,3.333333333,5.392658621,6.892157992,2.558421987,2.7980397,1,4.531164097,8.290353254,9.639211708,8.940768978,5,7.967583485,6.663111111,7.329926301,10,4.218359967,7.052849345,8.581428204,5.465929685,5.955238739,6.667532209
2009,USA,United States,7.95,8,1,5.852941176,5.940054496,7,7,6.448248918,6.616328108,5.70413562,6.830850921,6.666666667,8.333333333,7.32874573,9.608853531,7.714980274,5.891467551,1,7.188373526,8.855526645,9.634587719,9.928890747,10,9.604751278,8.453333333,7.687796806,10,4.753078091,7.723552058,9.725319518,9.100567882,7.548739815,8.791542405
2008,CHN,China,6.27,98,3,3.897058824,8.294277929,0,6,4.547834188,4.914416983,4.9899825,7.078322795,5,7.5,6.730396635,8.432917277,6.121219792,7.310686834,1,6.453104757,9.418592997,9.268197091,8.827123255,5,8.128478336,8.147111111,6.437989327,10,1.602811193,6.546977908,6.729676048,4.816198499,5.452771138,5.666215228
2008,MEX,Mexico,6.66,85,3,7.573529412,6.776566757,7,6,6.837524042,3.729575088,3.700641667,4.923428943,7.5,5.833333333,5.392658621,6.892157992,2.80364313,2.903023256,1,4.853162448,8.437939538,9.511635045,8.974897951,5,7.981118133,6.616444444,7.168910435,10,4.262057162,7.01185301,8.714010703,5.471914728,5.622630684,6.602852038
