"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",24.5267656805599,0.620718493764757,39.5135088239455,2.15447952685826e-269
"2","`GDP per capita`",0.000409723270964114,2.80367030629901e-05,14.6138178245704,1.36344832538615e-46
"3","GrowthPercentage",7.37952767114835e-05,0.015485636023601,0.00476540173093408,0.996198129127913
"4","`GDP per capita`:GrowthPercentage",1.03729322101521e-06,9.63347938461314e-07,1.07675864513916,0.281685165490265
