"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",12.0450659206496,1.78296079986229,6.75565380998836,1.73797520991248e-11
"2","`GDP per capita`",-0.000125216835851314,6.31888087606598e-05,-1.98162994851821,0.0476228108832098
"3","`Value of global merchandise exports as a share of GDP`",0.0809428740565778,0.0459933074527869,1.7598837426438,0.0785417190421359
